"txn_year","pr","u_count"
2021-01-01 00:00:00.000 +0300,165,147
2023-01-01 00:00:00.000 +0300,685,3
2025-01-01 00:00:00.000 +0300,262,73
2020-01-01 00:00:00.000 +0300,127,22
2024-01-01 00:00:00.000 +0300,186,6
2022-01-01 00:00:00.000 +0300,172,55
2021-01-01 00:00:00.000 +0300,179,3
2020-01-01 00:00:00.000 +0300,520,5
2022-01-01 00:00:00.000 +0300,507,2009
2024-01-01 00:00:00.000 +0300,120,119
2022-01-01 00:00:00.000 +0300,542,87
2021-01-01 00:00:00.000 +0300,409,184
2023-01-01 00:00:00.000 +0300,179,1
2023-01-01 00:00:00.000 +0300,411,166
2023-01-01 00:00:00.000 +0300,176,293
2025-01-01 00:00:00.000 +0300,154,32
2024-01-01 00:00:00.000 +0300,287,13
2021-01-01 00:00:00.000 +0300,55,1793
2021-01-01 00:00:00.000 +0300,600,9
2022-01-01 00:00:00.000 +0300,415,1893
2025-01-01 00:00:00.000 +0300,687,76
2023-01-01 00:00:00.000 +0300,153,40
2024-01-01 00:00:00.000 +0300,14,1511
2023-01-01 00:00:00.000 +0300,233,530
2023-01-01 00:00:00.000 +0300,505,3082
2021-01-01 00:00:00.000 +0300,226,1218
2024-01-01 00:00:00.000 +0300,633,102
2023-01-01 00:00:00.000 +0300,163,183
2023-01-01 00:00:00.000 +0300,11,3030
2022-01-01 00:00:00.000 +0300,226,2756
2025-01-01 00:00:00.000 +0300,704,19
2025-01-01 00:00:00.000 +0300,545,4
2021-01-01 00:00:00.000 +0300,496,562
2021-01-01 00:00:00.000 +0300,101,1835
2022-01-01 00:00:00.000 +0300,522,8124
2022-01-01 00:00:00.000 +0300,19,7
2024-01-01 00:00:00.000 +0300,487,74
2023-01-01 00:00:00.000 +0300,29,462
2022-01-01 00:00:00.000 +0300,199,8
2022-01-01 00:00:00.000 +0300,101,1582
2023-01-01 00:00:00.000 +0300,409,49
2024-01-01 00:00:00.000 +0300,536,77
2024-01-01 00:00:00.000 +0300,241,987
2024-01-01 00:00:00.000 +0300,212,204
2020-01-01 00:00:00.000 +0300,540,5
2022-01-01 00:00:00.000 +0300,177,656
2023-01-01 00:00:00.000 +0300,149,1
2020-01-01 00:00:00.000 +0300,545,5
2025-01-01 00:00:00.000 +0300,160,23
2022-01-01 00:00:00.000 +0300,532,382
2025-01-01 00:00:00.000 +0300,121,17
2024-01-01 00:00:00.000 +0300,93,577
2021-01-01 00:00:00.000 +0300,217,1308
2023-01-01 00:00:00.000 +0300,116,57
2024-01-01 00:00:00.000 +0300,471,44
2022-01-01 00:00:00.000 +0300,71,524
2020-01-01 00:00:00.000 +0300,147,17
2022-01-01 00:00:00.000 +0300,256,11
2025-01-01 00:00:00.000 +0300,619,85
2022-01-01 00:00:00.000 +0300,223,2281
2023-01-01 00:00:00.000 +0300,566,23
2024-01-01 00:00:00.000 +0300,169,50
2024-01-01 00:00:00.000 +0300,547,24
2023-01-01 00:00:00.000 +0300,689,242
2025-01-01 00:00:00.000 +0300,529,18
2025-01-01 00:00:00.000 +0300,220,12954
2024-01-01 00:00:00.000 +0300,497,5
2024-01-01 00:00:00.000 +0300,224,15447
2023-01-01 00:00:00.000 +0300,189,933
2020-01-01 00:00:00.000 +0300,211,1
2023-01-01 00:00:00.000 +0300,490,184
2025-01-01 00:00:00.000 +0300,683,1
2024-01-01 00:00:00.000 +0300,174,19
2021-01-01 00:00:00.000 +0300,608,1
2025-01-01 00:00:00.000 +0300,426,33
2020-01-01 00:00:00.000 +0300,553,2
2025-01-01 00:00:00.000 +0300,425,14
2023-01-01 00:00:00.000 +0300,625,19
2024-01-01 00:00:00.000 +0300,525,173
2021-01-01 00:00:00.000 +0300,545,263
2023-01-01 00:00:00.000 +0300,630,225
2022-01-01 00:00:00.000 +0300,170,356
2022-01-01 00:00:00.000 +0300,574,3
2023-01-01 00:00:00.000 +0300,405,122
2021-01-01 00:00:00.000 +0300,94,5845
2023-01-01 00:00:00.000 +0300,486,34
2021-01-01 00:00:00.000 +0300,536,429
2020-01-01 00:00:00.000 +0300,19,33
2020-01-01 00:00:00.000 +0300,313,61
2023-01-01 00:00:00.000 +0300,553,16
2022-01-01 00:00:00.000 +0300,138,2
2025-01-01 00:00:00.000 +0300,550,4
2023-01-01 00:00:00.000 +0300,543,77
